Time,Milliseconds,Acceleration X,Acceleration Y,Acceleration Z,Gravity X,Gravity Y,Gravity Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z
"23:3:33",4512324,-0.08634968,0.9646426,0.09777061,37.29248,161.8042,-8.178711,37.29248,161.8042,-8.178711
"23:3:33",4512425,-0.1193087,1.059125,0.03990928,20.38574,208.5571,-7.93457,15.25879,207.3364,-7.93457
"23:3:33",4512524,-0.1100313,0.9770938,-0.02039346,-2.929688,89.35547,-15.86914,-3.173828,89.35547,-15.86914
"23:3:33",4512625,-0.1254122,0.9824649,-0.04334268,-4.089355,58.22754,-4.882813,-7.019043,58.22754,-4.882813
"23:3:33",4512724,-0.0858614,1.004193,0.02013389,8.178711,191.2842,34.17969,8.300781,191.2842,34.17969
"23:3:34",4512825,-0.1080782,1.002729,-0.038704,-5.065918,41.25977,8.789063,-5.065918,41.25977,8.789063
"23:3:34",4512924,-0.1083223,0.9839297,-0.07971963,-12.87842,116.0278,12.69531,-12.87842,116.0278,12.69531
"23:3:34",4513025,-0.08927937,1.004926,-0.05262002,-6.408691,68.11523,3.417969,-6.408691,68.11523,3.417969
"23:3:34",4513124,-0.07731647,0.9768497,-0.04993447,6.958008,83.06885,-1.281738,6.958008,83.06885,-1.281738
"23:3:34",4513225,-0.07975788,0.986127,-0.01795205,-1.525879,142.4561,10.0708,-1.525879,142.4561,10.0708
"23:3:34",4513324,-0.1583712,1.051068,-0.01892861,44.55566,335.9985,-20.26367,39.73389,317.8101,-20.26367
"23:3:34",4513424,0.04499797,0.972211,-0.1771317,-53.52783,128.9063,-55.35889,-53.52783,128.9063,-55.35889
"23:3:34",4513524,-0.05363483,0.97392,-0.104622,-16.05225,196.4111,11.53564,-16.05225,196.4111,11.53564
"23:3:34",4513624,0.03108196,0.9871036,-0.1143876,-11.96289,121.2769,24.35303,-11.96289,121.2769,24.35303
"23:3:34",4513734,0.1255644,0.9736758,-0.06824502,-51.51367,67.93213,-67.81006,-51.51367,67.93213,-67.81006
"23:3:35",4513826,0.08430462,1.035443,-0.03357705,-22.27783,125.6714,7.080078,-22.27783,125.6714,7.080078
"23:3:35",4513924,0.140457,1.063764,0.07164755,-28.9917,190.0635,37.71973,-25.26855,184.5093,37.71973
"23:3:35",4514023,0.08699017,1.000287,0.1197433,-6.04248,90.69824,-4.699707,-6.04248,90.69824,-4.699707
"23:3:35",4514124,-0.0001680404,1.009565,0.2413253,-54.80957,192.4438,17.8833,-46.08154,192.4438,17.8833
"23:3:35",4514224,0.07844524,0.9529239,0.1920089,-40.77148,255.5542,2.075195,-40.77148,255.5542,2.075195
"23:3:35",4514324,-0.04093953,0.9790469,0.303337,16.47949,80.99365,64.39209,16.47949,80.99365,64.39209
"23:3:35",4514424,0.002517507,0.9778262,0.2571944,-7.995605,-32.34863,34.17969,-9.82666,-29.11377,34.17969
"23:3:35",4514524,0.01277141,0.9016543,0.32946,-0.4272461,6.774902,12.39014,-0.4272461,6.774902,12.39014
"23:3:35",4514624,0.03596477,0.9160586,0.3131026,2.380371,21.1792,-12.57324,2.380371,21.1792,-12.57324
"23:3:35",4514724,-0.02409382,0.9460879,0.3677901,-14.64844,-5.432129,-9.338379,-15.99121,-6.958008,-9.338379
"23:3:36",4514825,-0.01261921,1.075238,0.3218917,5.554199,-10.80322,-0.5493164,5.554199,-10.80322,-0.5493164
"23:3:36",4514924,0.02449016,0.9399844,0.2613448,30.0293,2.502441,-3.356934,30.0293,2.502441,-3.356934
"23:3:36",4515024,0.03449993,0.9556094,0.1688155,57.9834,16.90674,-1.403809,60.11963,17.63916,-1.403809
"23:3:36",4515124,0.02912884,1.112836,0.06212607,-9.094238,-5.493164,-10.55908,-9.70459,-5.493164,-10.55908
"23:3:36",4515224,0.02058391,0.9560977,0.2127608,-26.61133,-4.943848,0.4882813,-27.89307,-4.943848,0.4882813
